 INFO  Accepting connections at http://localhost:8080
 HTTP  6/14/2025 1:50:19 PM ::1 GET /assets/index-Bcj3cU8A.js
 HTTP  6/14/2025 1:50:19 PM ::1 Returned 304 in 5 ms
 HTTP  6/14/2025 1:50:19 PM ::1 Returned 304 in 2 ms
 HTTP  6/14/2025 1:50:20 PM ::1 GET /data/awesome-list.json
 HTTP  6/14/2025 1:50:20 PM ::1 Returned 304 in 1 ms
 HTTP  6/14/2025 1:50:45 PM ::1 GET /
 HTTP  6/14/2025 1:50:45 PM ::1 Returned 200 in 1 ms
 HTTP  6/14/2025 1:51:47 PM ::1 GET /
 HTTP  6/14/2025 1:51:47 PM ::1 Returned 304 in 1 ms
 HTTP  6/14/2025 1:51:47 PM ::1 GET /assets/index-Bcj3cU8A.js
 HTTP  6/14/2025 1:51:47 PM ::1 GET /assets/index-D-ArMTUm.css
 HTTP  6/14/2025 1:51:47 PM ::1 Returned 304 in 1 ms
 HTTP  6/14/2025 1:51:47 PM ::1 Returned 304 in 2 ms
 HTTP  6/14/2025 1:51:47 PM ::1 GET /data/awesome-list.json
 HTTP  6/14/2025 1:51:47 PM ::1 Returned 304 in 6 ms
 HTTP  6/14/2025 1:52:57 PM ::1 GET /
 HTTP  6/14/2025 1:52:57 PM ::1 Returned 200 in 1 ms
 HTTP  6/14/2025 1:52:57 PM ::1 GET /assets/index-Bcj3cU8A.js
 HTTP  6/14/2025 1:52:57 PM ::1 Returned 200 in 1 ms
 HTTP  6/14/2025 1:52:57 PM ::1 GET /assets/index-D-ArMTUm.css
 HTTP  6/14/2025 1:52:57 PM ::1 Returned 200 in 1 ms
 HTTP  6/14/2025 1:52:57 PM ::1 GET /data/awesome-list.json
 HTTP  6/14/2025 1:52:57 PM ::1 Returned 200 in 0 ms
 HTTP  6/14/2025 1:56:59 PM ::1 GET /?v=rebuilt2
 HTTP  6/14/2025 1:56:59 PM ::1 Returned 200 in 2 ms
 HTTP  6/14/2025 1:56:59 PM ::1 GET /assets/index-p4YHgPWe.js
 HTTP  6/14/2025 1:56:59 PM ::1 GET /assets/index-D-ArMTUm.css
 HTTP  6/14/2025 1:56:59 PM ::1 Returned 304 in 3 ms
 HTTP  6/14/2025 1:56:59 PM ::1 Returned 200 in 8 ms
 HTTP  6/14/2025 1:56:59 PM ::1 GET /data/awesome-list.json
 HTTP  6/14/2025 1:56:59 PM ::1 Returned 304 in 2 ms
 HTTP  6/14/2025 1:57:37 PM ::1 GET /
 HTTP  6/14/2025 1:57:37 PM ::1 Returned 200 in 10 ms
 HTTP  6/14/2025 1:57:37 PM ::1 GET /assets/index-p4YHgPWe.js
 HTTP  6/14/2025 1:57:37 PM ::1 Returned 200 in 14 ms
 HTTP  6/14/2025 1:57:37 PM ::1 GET /assets/index-D-ArMTUm.css
 HTTP  6/14/2025 1:57:37 PM ::1 Returned 304 in 0 ms
 HTTP  6/14/2025 1:57:37 PM ::1 GET /data/awesome-list.json
 HTTP  6/14/2025 1:57:37 PM ::1 Returned 304 in 0 ms
